xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =   -7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.016140
Cy    =    0.000000
Cd    =    0.019784     ICd   =    0.001857     PCd   =    0.017927
Cl   = -1.80217e-15
Cm   =    0.249301
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    4.079263     YCP   =   -0.000000     ZCP   =    2.278465  
XNP   =    0.000000
Bending =    6.745672

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  47       1.460e-01      -2.576e+00       5.846e-02           0.152           0.028           0.988       3.764e-03          0.3071
  48       1.233e-01      -2.576e+00       6.177e-02           0.125           0.030           0.992       4.277e-03          0.3049
  49       9.812e-02      -2.576e+00       6.475e-02           0.095           0.031           0.995       4.442e-03          0.2603
  50       7.236e-02      -2.576e+00       6.702e-02           0.066           0.032           0.997       4.252e-03          0.1811
  51       4.816e-02      -2.576e+00       6.844e-02           0.036           0.032           0.999       3.722e-03          0.0615
  52       2.748e-02      -2.576e+00       6.902e-02          -0.003           0.033           0.999       2.896e-03         -0.1629
  53       1.200e-02      -2.576e+00       6.883e-02          -0.055           0.033           0.998       1.840e-03         -0.6630
  54       2.963e-03      -2.576e+00       6.822e-02          -0.178           0.033           0.984       6.395e-04         -2.6914
Strip 6
  55       1.946e-01      -2.395e+00       4.470e-02           0.212           0.024           0.977       7.851e-04          0.1715
  56       1.887e-01      -2.395e+00       4.592e-02           0.197           0.025           0.980       2.284e-03          0.2449
  57       1.755e-01      -2.394e+00       4.846e-02           0.173           0.027           0.985       3.584e-03          0.2779
  58       1.560e-01      -2.394e+00       5.175e-02           0.152           0.028           0.988       4.588e-03          0.3075
  59       1.318e-01      -2.394e+00       5.528e-02           0.125           0.030           0.992       5.213e-03          0.3055
  60       1.048e-01      -2.394e+00       5.847e-02           0.095           0.031           0.995       5.415e-03          0.2609
  61       7.731e-02      -2.394e+00       6.089e-02           0.066           0.032           0.997       5.183e-03          0.1819
  62       5.146e-02      -2.394e+00       6.242e-02           0.036           0.032           0.999       4.538e-03          0.0625
  63       2.936e-02      -2.394e+00       6.303e-02          -0.003           0.033           0.999       3.530e-03         -0.1616
  64       1.282e-02      -2.394e+00       6.284e-02          -0.055           0.033           0.998       2.243e-03         -0.6611
  65       3.166e-03      -2.394e+00       6.218e-02          -0.178           0.033           0.984       7.796e-04         -2.6870
Strip 7
  66       2.084e-01      -2.193e+00       3.674e-02           0.212           0.024           0.977       9.126e-04          0.1715
  67       2.022e-01      -2.193e+00       3.805e-02           0.197           0.025           0.980       2.655e-03          0.2450
  68       1.880e-01      -2.192e+00       4.077e-02           0.173           0.027           0.985       4.166e-03          0.2780
  69       1.671e-01      -2.192e+00       4.430e-02           0.152           0.028           0.988       5.333e-03          0.3076
  70       1.412e-01      -2.192e+00       4.808e-02           0.125           0.030           0.992       6.060e-03          0.3056
  71       1.123e-01      -2.192e+00       5.149e-02           0.095           0.031           0.995       6.294e-03          0.2611
  72       8.282e-02      -2.192e+00       5.409e-02           0.066           0.032           0.997       6.025e-03          0.1821
  73       5.512e-02      -2.192e+00       5.572e-02           0.036           0.032           0.999       5.274e-03          0.0627
  74       3.145e-02      -2.192e+00       5.638e-02          -0.003           0.033           0.999       4.103e-03         -0.1614
  75       1.373e-02      -2.192e+00       5.617e-02          -0.055           0.033           0.998       2.607e-03         -0.6607
  76       3.391e-03      -2.192e+00       5.547e-02          -0.178           0.033           0.984       9.061e-04         -2.6863
Strip 8
  77       2.231e-01      -1.978e+00       2.829e-02           0.212           0.024           0.977       1.016e-03          0.1715
  78       2.164e-01      -1.978e+00       2.970e-02           0.197           0.025           0.980       2.956e-03          0.2449
  79       2.013e-01      -1.978e+00       3.261e-02           0.173           0.027           0.985       4.638e-03          0.2779
  80       1.789e-01      -1.978e+00       3.638e-02           0.152           0.028           0.988       5.938e-03          0.3075
  81       1.511e-01      -1.978e+00       4.044e-02           0.125           0.030           0.992       6.746e-03          0.3055
  82       1.202e-01      -1.978e+00       4.409e-02           0.095           0.031           0.995       7.008e-03          0.2609
  83       8.866e-02      -1.978e+00       4.687e-02           0.066           0.032           0.997       6.708e-03          0.1818
  84       5.901e-02      -1.978e+00       4.862e-02           0.036           0.032           0.999       5.872e-03          0.0623
  85       3.367e-02      -1.978e+00       4.932e-02          -0.003           0.033           0.999       4.568e-03         -0.1619
  86       1.470e-02      -1.978e+00       4.910e-02          -0.055           0.033           0.998       2.902e-03         -0.6616
  87       3.630e-03      -1.978e+00       4.834e-02          -0.178           0.033           0.984       1.009e-03         -2.6883
Strip 9
  88       2.381e-01      -1.759e+00       1.968e-02           0.212           0.024           0.977       1.084e-03          0.1714
  89       2.310e-01      -1.759e+00       2.118e-02           0.197           0.025           0.980       3.155e-03          0.2448
  90       2.148e-01      -1.759e+00       2.428e-02           0.173           0.027           0.985       4.950e-03          0.2777
  91       1.909e-01      -1.759e+00       2.831e-02           0.152           0.028           0.988       6.337e-03          0.3073
  92       1.613e-01      -1.759e+00       3.264e-02           0.125           0.030           0.992       7.200e-03          0.3051
  93       1.283e-01      -1.759e+00       3.654e-02           0.095           0.031           0.995       7.479e-03          0.2605
