xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.283901
Cy    =   -0.000000
Cd    =    0.051101     ICd   =    0.022148     PCd   =    0.028954
Cl   = -1.31251e-13
Cm   =    -1.04922
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.093205     YCP   =    0.000000     ZCP   =    0.029951  
XNP   =    0.000000
Bending =  109.061761

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  10       2.514e-03      -2.978e+00       8.159e-02          -0.178           0.033           0.984       6.880e-05          1.9324
Strip 2
  11       1.574e-01      -2.936e+00       6.603e-02           0.212           0.024           0.977       2.091e-04          0.2205
  12       1.527e-01      -2.936e+00       6.702e-02           0.197           0.025           0.980       6.084e-04          0.3355
  13       1.420e-01      -2.936e+00       6.907e-02           0.173           0.027           0.985       9.546e-04          0.4230
  14       1.262e-01      -2.936e+00       7.173e-02           0.152           0.028           0.988       1.222e-03          0.5206
  15       1.066e-01      -2.936e+00       7.459e-02           0.125           0.030           0.992       1.388e-03          0.6125
  16       8.482e-02      -2.936e+00       7.717e-02           0.095           0.031           0.995       1.442e-03          0.7019
  17       6.255e-02      -2.936e+00       7.913e-02           0.066           0.032           0.997       1.380e-03          0.8179
  18       4.163e-02      -2.936e+00       8.036e-02           0.036           0.032           0.999       1.208e-03          0.9965
  19       2.376e-02      -2.936e+00       8.086e-02          -0.003           0.033           0.999       9.401e-04          1.2753
  20       1.037e-02      -2.936e+00       8.070e-02          -0.055           0.033           0.998       5.973e-04          1.8391
  21       2.561e-03      -2.936e+00       8.017e-02          -0.178           0.033           0.984       2.076e-04          3.2927
Strip 3
  22       1.632e-01      -2.852e+00       6.273e-02           0.212           0.024           0.977       3.519e-04          0.2522
  23       1.583e-01      -2.852e+00       6.376e-02           0.197           0.025           0.980       1.024e-03          0.3933
  24       1.472e-01      -2.852e+00       6.589e-02           0.173           0.027           0.985       1.607e-03          0.5121
  25       1.308e-01      -2.852e+00       6.865e-02           0.152           0.028           0.988       2.057e-03          0.6426
  26       1.105e-01      -2.852e+00       7.161e-02           0.125           0.030           0.992       2.337e-03          0.7674
  27       8.791e-02      -2.852e+00       7.428e-02           0.095           0.031           0.995       2.427e-03          0.8887
  28       6.483e-02      -2.852e+00       7.631e-02           0.066           0.032           0.997       2.323e-03          1.0368
  29       4.315e-02      -2.852e+00       7.759e-02           0.036           0.032           0.999       2.034e-03          1.2538
  30       2.462e-02      -2.852e+00       7.811e-02          -0.003           0.033           0.999       1.582e-03          1.5980
  31       1.075e-02      -2.852e+00       7.794e-02          -0.055           0.033           0.998       1.005e-03          2.3241
  32       2.655e-03      -2.852e+00       7.739e-02          -0.178           0.033           0.984       3.494e-04          4.3937
Strip 4
  33       1.715e-01      -2.731e+00       5.795e-02           0.212           0.024           0.977       4.978e-04          0.2696
  34       1.663e-01      -2.731e+00       5.903e-02           0.197           0.025           0.980       1.448e-03          0.4245
  35       1.547e-01      -2.731e+00       6.126e-02           0.173           0.027           0.985       2.273e-03          0.5593
  36       1.375e-01      -2.731e+00       6.416e-02           0.152           0.028           0.988       2.909e-03          0.7066
  37       1.162e-01      -2.731e+00       6.728e-02           0.125           0.030           0.992       3.305e-03          0.8486
  38       9.240e-02      -2.731e+00       7.008e-02           0.095           0.031           0.995       3.433e-03          0.9877
  39       6.814e-02      -2.731e+00       7.222e-02           0.066           0.032           0.997       3.286e-03          1.1555
  40       4.535e-02      -2.730e+00       7.357e-02           0.036           0.032           0.999       2.877e-03          1.3990
  41       2.588e-02      -2.730e+00       7.411e-02          -0.003           0.033           0.999       2.238e-03          1.7892
  42       1.130e-02      -2.730e+00       7.393e-02          -0.055           0.033           0.998       1.422e-03          2.6236
  43       2.790e-03      -2.730e+00       7.335e-02          -0.178           0.033           0.984       4.943e-04          5.0867
Strip 5
  44       1.821e-01      -2.576e+00       5.186e-02           0.212           0.024           0.977       6.441e-04          0.2784
  45       1.766e-01      -2.576e+00       5.300e-02           0.197           0.025           0.980       1.874e-03          0.4400
